location,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi
lat,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986
lon,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579
asl,216.200,216.200,216.200,216.200,216.200,216.200,216.200,216.200
variable,Temperature,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Shortwave Radiation,Wind Speed,Wind Direction,Geopotential Height
unit,°C,hPa,mm,%,W/m²,km/h,°,Gpm
level,2 m elevation corrected,MSL,sfc,sfc,sfc,10 m,10 m,1000 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,New Delhi Temperature [2 m elevation corrected],New Delhi Mean Sea Level Pressure [MSL],New Delhi Precipitation Total,New Delhi Cloud Cover Total,New Delhi Shortwave Radiation,New Delhi Wind Speed [10 m],New Delhi Wind Direction [10 m],New Delhi Geopotential Height [1000 mb]
20200912T0000,31.737299,1003.7,0.0,0.0,0.0,7.386582,133.02505,27.0
20200912T0100,30.9973,1003.9,0.0,0.0,0.0,7.127636,135.0,29.0
20200912T0200,30.2573,1003.7,0.0,0.0,0.0,6.8777895,132.8789,27.0
20200912T0300,29.6373,1003.5,0.0,0.0,0.0,7.386582,133.02505,26.0
20200912T0400,29.1073,1003.8,0.0,0.0,0.0,7.491114,125.21759,28.0
20200912T0500,28.5273,1004.3,0.0,0.0,0.0,7.8954163,114.22774,33.0
20200912T0600,28.1073,1004.9,0.0,0.0,8.01,8.12197,102.80426,38.0
20200912T0700,29.4673,1005.4,0.0,0.0,159.31,8.427383,109.9831,44.0
20200912T0800,31.6673,1006.1,0.0,0.0,366.68,11.592894,126.15819,50.0
20200912T0900,33.7573,1006.5,0.0,0.0,551.8,13.493999,136.08092,53.0
20200912T1000,35.407303,1006.1,0.0,0.0,704.88,12.538134,140.82634,49.0
20200912T1100,36.5973,1005.3,0.0,10.0,810.79,7.8954163,133.15239,41.0
20200912T1200,37.5373,1004.5,0.0,10.0,805.45,3.6,89.99999,34.0
20200912T1300,38.477303,1004.0,0.0,0.0,833.93,4.3498964,24.443954,29.0
20200912T1400,38.817303,1003.0,0.0,0.0,777.86,4.510787,28.610443,20.0
20200912T1500,38.8773,1002.1,0.0,0.0,654.14996,4.1046314,37.87497,12.0
20200912T1600,38.727303,1002.2,0.0,0.0,486.83,3.8268526,41.18593,13.0
20200912T1700,37.177303,1002.7,0.0,0.0,290.13998,9.47012,8.74614,18.0
20200912T1800,36.2773,1003.1,0.0,0.0,82.77,7.172949,17.525558,21.0
20200912T1900,35.6673,1003.4,0.0,0.0,0.0,5.692099,34.69516,24.0
20200912T2000,35.2173,1004.1,0.0,0.0,0.0,4.6938257,57.5288,30.0
20200912T2100,34.5773,1004.8,0.0,0.0,0.0,4.3349743,85.23635,37.0
20200912T2200,33.907303,1004.8,0.0,0.0,0.0,5.2416787,105.9454,37.0
20200912T2300,33.1673,1004.8,0.0,0.0,0.0,5.95906,115.01689,37.0
20200913T0000,32.3773,1004.8,0.0,0.0,0.0,6.489992,123.69006,37.0
20200913T0100,31.5873,1004.7,0.0,0.0,0.0,6.4096174,128.15723,36.0
20200913T0200,30.8473,1004.3,0.0,0.0,0.0,6.1305785,130.23636,32.0
20200913T0300,30.1673,1003.9,0.0,0.0,0.0,5.6233797,129.80557,29.0
20200913T0400,29.6173,1004.1,0.0,0.0,0.0,5.3999996,126.869896,31.0
20200913T0500,29.1173,1004.6,0.0,0.0,0.0,5.00128,120.25643,35.0
20200913T0600,28.7873,1005.0,0.0,0.0,8.01,5.3517847,109.653824,39.0
20200913T0700,29.987299,1005.2,0.0,0.0,157.53,4.2136917,109.9831,42.0
20200913T0800,32.2873,1005.7,0.0,0.0,364.00998,8.435069,140.19443,46.0
20200913T0900,34.2873,1006.0,0.0,0.0,549.13,8.891343,148.24051,49.0
20200913T1000,35.707302,1005.7,0.0,10.0,701.32,6.792466,147.99461,46.0
20200913T1100,36.607304,1005.0,0.0,10.0,757.39,2.5455842,81.869896,38.0
20200913T1200,37.5273,1004.1,0.0,0.0,842.82996,6.12,28.07248,31.0
20200913T1300,38.157303,1003.8,0.0,0.0,845.5,5.8048253,29.744873,28.0
20200913T1400,38.5073,1002.9,0.0,0.0,773.41,4.39436,34.99202,19.0
20200913T1500,38.607304,1002.1,0.0,0.0,649.7,3.0547013,44.999985,12.0
20200913T1600,38.4873,1002.1,0.0,0.0,482.38,2.3051248,51.34018,11.0
20200913T1700,36.7573,1002.5,0.0,0.0,284.8,4.802999,12.994629,16.0
20200913T1800,35.8273,1002.8,0.0,0.0,77.43,7.9526596,5.194412,19.0
20200913T1900,34.9473,1003.1,0.0,0.0,0.0,6.9899354,11.888657,21.0
20200913T2000,33.977303,1003.7,0.0,0.0,0.0,6.28713,13.240509,27.0
20200913T2100,32.9173,1004.5,0.0,0.0,0.0,5.154415,24.775131,35.0
20200913T2200,32.427303,1004.4,0.0,0.0,0.0,3.396233,32.005356,34.0
20200913T2300,31.907299,1004.6,0.0,0.0,0.0,2.8116899,39.805573,36.0
20200914T0000,31.3773,1004.7,0.0,0.0,0.0,3.096837,54.46232,37.0
20200914T0100,30.8873,1004.7,0.0,0.0,0.0,3.219938,63.43495,37.0
20200914T0200,30.237299,1004.5,0.0,0.0,0.0,3.671294,78.69006,35.0
20200914T0300,29.5273,1004.0,0.0,0.0,0.0,4.379589,80.537674,30.0
20200914T0400,28.9573,1004.3,0.0,0.0,0.0,5.0528407,85.91438,34.0
20200914T0500,28.4673,1004.9,0.0,0.0,0.0,5.04,89.99999,39.0
20200914T0600,28.5573,1005.1,0.0,0.0,7.12,5.5887027,104.93142,41.0
20200914T0700,29.8873,1005.3,0.0,0.0,154.86,6.2145634,100.00798,43.0
20200914T0800,31.5473,1005.6,0.0,0.0,362.22998,6.379216,106.38954,45.0
20200914T0900,32.867302,1006.3,0.0,10.0,528.66,6.9527545,111.2505,51.0
20200914T1000,33.887302,1005.9,0.0,0.0,664.83,6.2145634,100.00798,47.0
20200914T1100,34.7173,1004.9,0.0,0.0,803.67,5.8603754,79.38034,39.0
20200914T1200,35.517303,1003.9,0.0,0.0,850.83997,6.989936,55.491463,29.0
20200914T1300,36.1673,1003.4,0.0,0.0,838.38,7.9036193,59.93141,24.0
20200914T1400,36.427303,1002.2,0.0,0.0,766.29,8.049845,63.43495,14.0
20200914T1500,36.3773,1001.5,0.0,10.0,616.77,7.754637,68.19859,7.0
20200914T1600,36.2373,1001.4,0.0,10.0,453.9,7.0911775,66.037506,6.0
20200914T1700,35.8273,1001.5,0.0,0.0,274.12,6.439876,63.43495,7.0
20200914T1800,35.3073,1001.8,0.0,0.0,74.76,8.209263,15.255127,10.0
20200914T1900,34.7173,1002.1,0.0,0.0,0.0,6.763786,25.201126,13.0
20200914T2000,34.0073,1002.7,0.0,0.0,0.0,5.154415,24.775131,18.0
20200914T2100,33.407303,1003.5,0.0,0.0,0.0,5.00128,30.256424,26.0
20200914T2200,32.857304,1003.7,0.0,0.0,0.0,3.319036,40.601288,28.0
20200914T2300,32.297302,1003.7,0.0,0.0,0.0,2.4149535,63.43495,28.0
20200915T0000,31.8873,1003.7,0.0,0.0,0.0,2.16,89.99999,28.0
20200915T0100,31.4973,1003.6,0.0,0.0,0.0,2.2768397,108.434944,27.0
