"Point_ID,N,9,0","Coarse,N,9,0","Clay,N,9,0","Sand,N,9,0","Silt,N,9,0","pH_CaCl2,N,24,2","pH_H20,N,24,2","EC,N,24,2","OC,N,24,2","CaCO3,N,9,0","P,N,24,2","N,N,24,2","K,N,24,2","LC,C,80","LU,C,80","NUTS_0,C,80","NUTS_1,C,80","NUTS_2,C,80","NUTS_3,C,80","LC0_Desc,C,80","LC1_Desc,C,80","LU1_Desc,C,80"
26581768,0,0,0,0,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26581792,0,0,0,0,5.4,5.81,14.81,21.9,0,3.4,2.3,150,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
26581954,0,0,0,0,7,7.29,28.1,18.4,46,56.5,2.1,505.2,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
26601784,0,0,0,0,4.4,5.17,5.37,48,0,5.6,3.3,103.8,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
26601978,0,0,0,0,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
26701780,0,0,0,0,4.4,5.06,6.69,16.4,0,0,1.9,74.4,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
26702014,0,0,0,0,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
26741814,0,0,0,0,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26741986,0,0,0,0,7.4,7.95,20.8,8.2,285,14,1.1,240.2,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
26761768,0,0,0,0,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26761786,0,0,0,0,4.3,4.93,4.38,26.3,0,4.2,2,80.4,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
26761804,0,0,0,0,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
26761864,0,0,0,0,4.3,5.25,3.88,6.3,0,0,0.4,56.6,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
